Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NJUL,3008,0,0.00,0,0.00,53.39,2208,800
XUSP,3000,0,0.00,0,0.00,28.82,3000,0
QUVU,2999,0,0.00,0,0.00,22.41,2699,300
MSTB,2987,0,0.00,0,0.00,27.59,2987,0
WFHY,2984,0,0.00,0,0.00,44.06,2984,0
GJUN,2958,0,0.00,0,0.00,30.88,2958,0
BJUN,2943,0,0.00,0,0.00,34.45,2943,0
POCT,2894,0,0.00,0,0.00,35.34,2894,0
PAUG,2834,0,0.00,0,0.00,32.40,2834,0
BAMV,2802,0,0.00,0,0.00,26.85,2802,0
VFVA,2783,0,0.00,0,0.00,103.25,2783,0
DIVB,2726,0,0.00,0,0.00,38.71,2674,52
DFHY,2700,0,0.00,0,0.00,20.60,2700,0
FMAY,2659,0,0.00,0,0.00,40.10,2659,0
RULE,2632,0,0.00,0,0.00,19.70,2632,0
FLQM,2618,0,0.00,0,0.00,45.24,2618,0
OUSA,2617,0,0.00,0,0.00,44.41,2438,179
IBHE,2614,0,0.00,0,0.00,23.08,2414,200
YDEC,2600,0,0.00,0,0.00,21.82,1000,1600
STOT,2511,0,0.00,0,0.00,46.66,2511,0
XJR,2498,0,0.00,0,0.00,33.92,2498,0
ACIO,2467,0,0.00,0,0.00,32.26,2467,0
PBUS,2460,0,0.00,0,0.00,45.69,1758,702
TDV,2444,0,0.00,0,0.00,65.63,2344,100
SNOV,2429,0,0.00,0,0.00,20.07,2429,0
OGIG,2370,0,0.00,0,0.00,34.48,1328,1042
FAPR,2360,0,0.00,0,0.00,33.93,2360,0
GMOM,2360,0,0.00,0,0.00,26.91,860,1500
NOCT,2329,0,0.00,0,0.00,44.68,1485,844
PAWZ,2320,0,0.00,0,0.00,46.73,2320,0
RSEE,2317,0,0.00,0,0.00,24.34,2317,0
QDEC,2302,0,0.00,0,0.00,23.35,2006,296
KWT,2299,0,0.00,0,0.00,30.20,2299,0
SNAV,2289,0,0.00,0,0.00,26.96,2289,0
FAUG,2277,0,0.00,0,0.00,39.29,2277,0
IBHC,2267,0,0.00,0,0.00,23.69,2267,0
FJUN,2252,0,0.00,0,0.00,42.59,2252,0
SMB,2247,0,0.00,0,0.00,17.04,2247,0
YSEP,2242,0,0.00,0,0.00,19.94,2242,0
HOCT,2204,0,0.00,0,0.00,24.12,2204,0
EMHY,2180,0,0.00,0,0.00,35.33,1980,200
PNOV,2156,0,0.00,0,0.00,33.77,2156,0
BBEM,2146,0,0.00,0,0.00,48.13,1146,1000
EPRF,2144,0,0.00,0,0.00,18.18,2144,0
ENOR,2132,0,0.00,0,0.00,23.11,2132,0
PJUN,2099,0,0.00,0,0.00,32.68,1915,184
BAMG,2063,0,0.00,0,0.00,26.64,2063,0
FMIL,2043,0,0.00,0,0.00,34.71,2043,0
IBMO,2040,0,0.00,0,0.00,25.34,2040,0
HYMU,2026,0,0.00,0,0.00,21.44,2026,0
NUDM,2006,0,0.00,0,0.00,28.63,2006,0
GPOW,2000,0,0.00,0,0.00,42.04,2000,0
BBHY,1995,0,0.00,0,0.00,44.94,1795,200
IBMN,1995,0,0.00,0,0.00,26.45,1995,0
JPIB,1968,0,0.00,0,0.00,46.60,1968,0
TILT,1932,0,0.00,0,0.00,171.87,1632,300
LOCT,1928,0,0.00,0,0.00,24.04,1928,0
PRNT,1920,0,0.00,0,0.00,20.74,1920,0
